"assay_name","assay_type","Metadata_Plate","Metadata_Well","plate","row","col","strain","drug","concentration_um","bleach","diluent","food","od","well_censor","well_censor_reason","notes","strain_set","phenotype_random_id"
"LM1","48h","p002","D09",2,"D","9","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D10",2,"D","10","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D11",2,"D","11","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D12",2,"D","12","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","E01",2,"E","1","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E02",2,"E","2","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E03",2,"E","3","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E04",2,"E","4","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E05",2,"E","5","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E06",2,"E","6","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E07",2,"E","7","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E08",2,"E","8","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E09",2,"E","9","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E10",2,"E","10","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E11",2,"E","11","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","E12",2,"E","12","ECA3321","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,13
"LM1","48h","p002","F01",2,"F","1","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F02",2,"F","2","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F03",2,"F","3","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F04",2,"F","4","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F05",2,"F","5","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F06",2,"F","6","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F07",2,"F","7","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F08",2,"F","8","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F09",2,"F","9","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F10",2,"F","10","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F11",2,"F","11","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","F12",2,"F","12","ECA3165","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,14
"LM1","48h","p002","G01",2,"G","1","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G02",2,"G","2","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G03",2,"G","3","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G04",2,"G","4","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G05",2,"G","5","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G06",2,"G","6","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G07",2,"G","7","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G08",2,"G","8","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G09",2,"G","9","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G10",2,"G","10","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G11",2,"G","11","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","G12",2,"G","12","ECA3141","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,15
"LM1","48h","p002","H01",2,"H","1","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H02",2,"H","2","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H03",2,"H","3","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H04",2,"H","4","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H05",2,"H","5","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H06",2,"H","6","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H07",2,"H","7","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H08",2,"H","8","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H09",2,"H","9","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H10",2,"H","10","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H11",2,"H","11","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p002","H12",2,"H","12","ECA3254","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,16
"LM1","48h","p003","A01",3,"A","1","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A02",3,"A","2","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A03",3,"A","3","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A04",3,"A","4","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A05",3,"A","5","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A06",3,"A","6","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A07",3,"A","7","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A08",3,"A","8","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A09",3,"A","9","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A10",3,"A","10","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A11",3,"A","11","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","A12",3,"A","12","ECA3144","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,17
"LM1","48h","p003","B01",3,"B","1","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
"LM1","48h","p003","B02",3,"B","2","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
"LM1","48h","p003","B03",3,"B","3","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
"LM1","48h","p003","B04",3,"B","4","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
"LM1","48h","p003","B05",3,"B","5","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
"LM1","48h","p003","B06",3,"B","6","ECA3258","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,3,18
